Circuit,WindSustained,GustSustained,Thresholds,FPI,Reasons,Month,pspsActivated
GREEN RIVER,11.5,17.6,31/40,3.52,,OCT,0
STAR ROCK,8.3,21.7,31/44,4.34,,OCT,0
BLACKHILLS,12.4,18.4,31/46,3.68,,OCT,0
DUKE,13.8,19.2,30/46,3.84,,OCT,0
STAGHORN,13.1,21.7,31/46,4.34,,OCT,0
GALENA,12.5,20.4,31/46,4.08,,OCT,0
SAVORY,9.1,20.6,29/42,4.12,,OCT,0
STEEL,10.5,18.2,30/43,3.64,,OCT,0
NAPOLEON,12.6,19.7,31/45,3.94,,OCT,0
EASTER,11.8,15,29/41,3,,OCT,0
TAHQUITZ,7.3,17.4,31/46,3.48,,OCT,0
DARTMOUTH,12.5,20.1,31/45,4.02,,OCT,0
FORTUNE,12.9,19.9,31/45,3.98,,OCT,0
GILMAN,13.9,15.5,31/45,3.1,,OCT,0
LAUDA,12.6,17.8,31/45,3.56,,OCT,0
CORSAIR,14.7,16.5,30/42,3.3,,OCT,0
BING,14.3,18.2,31/45,3.64,,OCT,0
HONEYCRISP,14.9,18.1,29/42,3.62,,OCT,0
PHEASANT,7.5,16.8,31/45,3.36,,OCT,0
JONAGOLD,13.7,20.8,28/39,4.16,,OCT,0
SCHMIDT,8.5,19.3,31/44,3.86,,OCT,0
CORSAIR,12.2,16.4,30/42,3.28,,OCT,0
CABANA,8.1,16.5,31/46,3.3,,OCT,0
LARCH,9.2,16.4,31/46,3.28,,OCT,0
CONINE,9,16.1,28/40,3.22,,OCT,0
MACIEL,14.8,15.7,28/42,3.14,,OCT,0
CHAWA,14,19.3,31/46,3.86,,OCT,0
VARGAS,12.9,20.7,31/46,4.14,,OCT,0
ACOSTA,10.3,21.8,31/46,4.36,,OCT,0
IMPALA,14.6,16.9,31/46,3.38,,OCT,0
AVANTI,8.7,20.4,31/46,4.08,,OCT,0
SUTT,14,19.5,31/46,3.9,,OCT,0
SWEETWATER,13.7,21.4,31/46,4.28,,OCT,0
CALSTATE,14.4,20.9,31/46,4.18,,OCT,0
ECHO,12.3,20.3,31/46,4.06,,OCT,0
BADGER,9.3,16.1,31/46,3.22,,OCT,0
BLUE CUT,10.4,19.2,31/46,3.84,,OCT,0
VERDEMONT,14,19.3,31/46,3.86,,OCT,0
CARMELITA,13.2,21.3,31/46,4.26,,OCT,0
NORTHPARK,9.5,19,31/46,3.8,,OCT,0
BELPAC,8.7,18.6,31/42,3.72,,OCT,0
ANTON,8.2,16.3,31/46,3.26,,OCT,0
ANTON,8.5,16.9,31/46,3.38,,OCT,0
BALCOM,7,18.1,31/46,3.62,,OCT,0
RAINBOW,14.4,15.6,31/46,3.12,,OCT,0
TAPO,13.6,22,31/46,4.4,,OCT,0
CASTRO,8.9,20.3,29/46,4.06,,OCT,0
ESTABAN,7.8,16.9,31/44,3.38,,OCT,0
BUCKHORN,10.2,16.2,31/46,3.24,,OCT,0
TIMBER CANYON,13.2,19.2,31/46,3.84,,OCT,0
ANGUS,9.3,16.4,31/46,3.28,,OCT,0
ZONE,12.6,19.9,31/46,3.98,,OCT,0
RICARDO,12.8,17.9,31/46,3.58,,OCT,0
RAINBOW,12.6,17.7,31/46,3.54,,OCT,0
ZONE,14.8,17.9,31/46,3.58,,OCT,0
AMBERCREST,11,18.3,31/44,3.66,,OCT,0
HAMPSHIRE,14.2,19.6,31/45,3.92,,OCT,0
HILLCREST,9.9,22,31/45,4.4,,OCT,0
GOLDSMITH,7.8,15.7,31/45,3.14,,OCT,0
LANGER,12.8,21.4,31/45,4.28,,OCT,0
CASSIDY,9.7,17.7,31/46,3.54,,OCT,0
ANTON,14.9,18.7,31/46,3.74,,OCT,0
ENCHANTED,14.6,21,31/46,4.2,,OCT,0
MIDDLE ROAD,7.1,17.9,26/42,3.58,,OCT,0
ESTABAN,10.6,15.8,31/45,3.16,,OCT,0
MORGANSTEIN,14.6,21.5,31/46,4.3,,OCT,0
ROSA,15,17.5,31/46,3.5,,OCT,0
DONLON,12.2,21,31/46,4.2,,OCT,0
WHITECLIFF,12.2,19,31/46,3.8,,OCT,0
DONLON,11.4,18.1,31/46,3.62,,OCT,0
DONLON,11.9,20.1,31/46,4.02,,OCT,0
BUCKNER,11.4,18.3,31/45,3.66,,OCT,0
ERRINGER,14.7,16.5,31/45,3.3,,OCT,0
EVERETT,9.4,16.8,31/46,3.36,,OCT,0
STRATHERN,10.1,20.1,31/46,4.02,,OCT,0
COVENTRY,8.7,21.3,31/46,4.26,,OCT,0
SHERWOOD,9.1,21.2,31/46,4.24,,OCT,0
WHITECLIFF,14.8,15.5,31/46,3.1,,OCT,0
ACCENT,12.1,17.8,27/38,3.56,,OCT,0
SHOVEL,7.3,15.4,31/46,3.08,,DEC,0
METTLER,10.6,20.8,31/46,4.16,,DEC,0
ZENDA,11,19.3,31/46,3.86,,DEC,0
LOUCKS,13,19.4,31/46,3.88,,DEC,0
CONDOR,14.5,21.1,31/46,4.22,,DEC,0
DAVENPORT,14.7,16.9,31/46,3.38,,DEC,0
RANKIN,13.2,18.1,31/46,3.62,,DEC,0
RAINBOW,14,21.2,31/46,4.24,,DEC,0
BALCOM,9.6,19.7,31/46,3.94,,DEC,0
ENERGY,11.1,15.9,31/46,3.18,,DEC,0
BIG ROCK,7,16.6,31/46,3.32,,DEC,0
CASTRO,10,16.8,30/46,3.36,,DEC,0
TWIN LAKES,7.8,15.2,31/45,3.04,,DEC,0
DAVENPORT,13.3,15.2,31/46,3.04,,DEC,0
ANTON,8.4,18.2,31/46,3.64,,DEC,0
ANTON,14.8,18.4,31/46,3.68,,DEC,0
TANAGER,7.8,20.5,30/44,4.1,,DEC,0
CONDOR,13,18.9,31/46,3.78,,DEC,0
GNATCATCHER,12,16.5,31/46,3.3,,DEC,0
SADDLEBACK,13.4,18.6,31/46,3.72,,DEC,0
DYSART,7.1,21.7,31/46,4.34,,DEC,0
FLYING D,11.1,18.6,31/46,3.72,,DEC,0
FINGAL,10.2,18,31/46,3.6,,DEC,0
BENCH,11.2,21.9,29/42,4.38,,DEC,0
CANAL,8,18.7,27/44,3.74,,DEC,0
PINE COVE,8,16.5,27/44,3.3,,DEC,0
SAUNDERS,8.2,20.5,27/44,4.1,,DEC,0
SAND CANYON,10.5,18.6,31/46,3.72,,DEC,0
ANACONDA,14.5,18.2,31/42,3.64,,DEC,0
GLASSCOCK,8.3,19.2,31/45,3.84,,DEC,0
PHEASANT,7.9,18.9,31/45,3.78,,DEC,0
TIMBER,7.6,21.6,31/46,4.32,,DEC,0
CANYONBOOTLEGGER,12.2,17.1,31/46,3.42,,DEC,0
ZONE,7,16.4,31/46,3.28,,DEC,0
COBRA,11.9,21,31/42,4.2,,DEC,0
ESTABAN,15,20.9,31/45,4.18,,DEC,0
CASTRO,12.6,18.2,30/46,3.64,,DEC,0
HILLFIELD,14.7,20.1,31/46,4.02,,DEC,0
ARLENE,11.3,20.1,31/46,4.02,,DEC,0
RACER,10.4,15.6,31/46,3.12,,DEC,0
TAPO,9.8,17.9,31/46,3.58,,DEC,0
MIDDLE ROAD,14.1,21.4,26/42,4.28,,DEC,0
DAVENPORT,8.2,15.7,31/46,3.14,,DEC,0
CLARINET,9.3,16.1,31/46,3.22,,DEC,0
GILLIBRAND,9,16.7,31/46,3.34,,DEC,0
STRATHERN,14.3,19.8,31/46,3.96,,DEC,0
DUKE,7.8,15.9,30/46,3.18,,DEC,0
BUCKHORN,13.5,17.5,31/46,3.5,,DEC,0
CANEBRAKE,13.6,18.7,31/46,3.74,,DEC,0
HORSE,13.8,18.1,31/46,3.62,,DEC,0
MOUNTAINTAHQUITZ,13.1,19.9,31/46,3.98,,DEC,0
CORSAIR,14,15.2,30/42,3.04,,DEC,0
EASTER,8.8,15.2,29/41,3.04,,DEC,0
ENCHANTED,13,18.5,31/46,3.7,,DEC,0
VERA CRUZ,11.7,15.9,28/42,3.18,,DEC,0
REJADA,8,21.4,31/46,4.28,,DEC,0
STEEL,12.6,19.8,30/43,3.96,,DEC,0
SAVORY,9.9,15.8,29/42,3.16,,DEC,0
PATRICIA,10.8,18.6,31/46,3.72,,DEC,0
STEEL,8.8,17.9,30/43,3.58,,DEC,0
ESTABAN,8.4,17.2,31/45,3.44,,DEC,0
FORTUNE,13.6,17.6,31/45,3.52,,DEC,0
LAUDA,9.5,21.5,31/45,4.3,,DEC,0
STEARNS,9.1,17.5,31/46,3.5,,DEC,0
Kuehner,7.6,19.5,31/46,3.9,,DEC,0
GILMAN,14.5,18.3,31/45,3.66,,DEC,0
NAPOLEON,12.4,21.2,31/45,4.24,,DEC,0
PARINA,14,20.6,28/36,4.12,,DEC,0
FANO,14.6,17.4,28/40,3.48,,DEC,0
PASCAL,15,18.4,31/44,3.68,,DEC,0
CHAWA,9.6,17.7,31/46,3.54,,DEC,0
LOPEZ,12.1,21,31/46,4.2,,DEC,0
DE MILLE,9.9,19.9,31/46,3.98,,DEC,0
SOGGY,13.4,18.7,28/40,3.74,,DEC,0
VETERANS,13.5,15.1,31/46,3.02,,DEC,0
ENERGY,11.1,20.1,31/46,4.02,,DEC,0
THACHER,9.6,20.6,29/46,4.12,,DEC,0
THACHER,13.7,16.7,29/46,3.34,,DEC,0
SONOMA,11.9,18.9,27/39,3.78,,DEC,0
SANTORINI,7.2,17.8,31/42,3.56,,DEC,0
TAGGERT,10.9,21.1,31/46,4.22,,DEC,0
BIANCO,12.2,20.9,31/40,4.18,,DEC,0
TOWNSHIP,12.2,19.4,31/45,3.88,,DEC,0
OAK KNOLL,10.2,15,31/46,3,,DEC,0
RED BOX,11.6,21.8,31/46,4.36,,DEC,0
LOCKNER,8.1,17.1,31/45,3.42,,DEC,0
VARGAS,10.2,17.9,31/46,3.58,,DEC,0
ROS,9.3,17,27/39,3.4,,DEC,0
DARTMOUTH,12.1,16.6,31/45,3.32,,DEC,0
CASSIDY,12.1,20.2,31/46,4.04,,DEC,0
AMETHYST,13.8,17.8,31/46,3.56,,DEC,0
ROUNDEL,7,18.6,31/44,3.72,,DEC,0
PATRICIA,8.2,21.8,31/46,4.36,,DEC,0
SAVORY,11.5,17.5,29/42,3.5,,DEC,0
FINGAL,12.4,19.4,31/46,3.88,,DEC,0
DONLON,14.7,21,31/46,4.2,,DEC,0
FERRARA,11.5,19,31/46,3.8,,DEC,0
CAMP BALDY,13.3,22,31/46,4.4,,DEC,0
ICE HOUSE,15,17,31/46,3.4,,DEC,0
STORES,10.5,20.6,31/46,4.12,,DEC,0
SANTORINI,9.2,21,31/42,4.2,,DEC,0
STUBBY,9,21.1,31/46,4.22,,DEC,0
WINERY,11.4,17.4,29/42,3.48,,DEC,0
ECHO,9.5,16.1,31/46,3.22,,DEC,0
SUTT,10.5,21.6,31/46,4.32,,DEC,0
FOOTHILL,10.4,15.2,26/36,3.04,,DEC,0
ECHO,7.8,20.2,31/46,4.04,,DEC,0
GUNSITE,12.2,16.7,31/46,3.34,,DEC,0
IMPALA,10.9,20.5,31/46,4.1,,DEC,0
NAPA,11,18.7,28/39,3.74,,DEC,0
ALOLA #2,14.8,18.6,31/44,3.72,,DEC,0
SNOW VALLEY,8.1,21.7,31/46,4.34,,DEC,0
SAND CANYON,13.6,17.8,31/46,3.56,,DEC,0
STORES,10.6,18.8,31/46,3.76,,DEC,0
JONAGOLD,14.9,15.7,28/39,3.14,,DEC,0
NAPOLEON,14.7,17.3,31/45,3.46,,DEC,0
CUTHBERT,11.5,21.2,31/46,4.24,,DEC,0
METTLER,7.9,17.5,23/37,3.5,,DEC,0
CALSTATE,8.5,21.9,31/46,4.38,,DEC,0
OAK GLEN,10.8,21.1,27/41,4.22,,DEC,0
CONDOR,13,15.3,31/46,3.06,,DEC,0
SHOVEL,9.4,19.6,25/40,3.92,,DEC,0
TUFA,9.4,18.7,31/46,3.74,,DEC,0
SAND CANYON,14.9,21,31/46,4.2,,DEC,0
NORTHPARK,8,20.5,31/46,4.1,,DEC,0
ECHO,9.5,18.4,31/46,3.68,,DEC,0
SUTT,14.9,19.7,31/46,3.94,,DEC,0
CLUB OAKS,8.7,19.5,31/46,3.9,,DEC,0
ENERGY,12.2,19.1,31/46,3.82,,DEC,0
ANTON,8.4,20.8,31/46,4.16,,DEC,0
ENERGY,10.1,18.7,31/46,3.74,,DEC,0
BIRCHIM,12.2,19.9,31/46,3.98,,DEC,0
SAND CANYON,13.4,18.5,31/46,3.7,,DEC,0
LOUCKS,9.9,16.2,31/46,3.24,,DEC,0
SHOVEL,14.4,18.2,31/46,3.64,,DEC,0
CALSTATE,10,18.6,31/46,3.72,,DEC,0
ENERGY,13.5,15.3,31/46,3.06,,DEC,0
DYSART,10.5,18.5,31/46,3.7,,DEC,0
SADDLEBACK,9.4,16.4,31/46,3.28,,DEC,0
TAPO,13.2,15.3,31/46,3.06,,DEC,0
ENERGY,10.1,18.5,31/46,3.7,,DEC,0
ANTON,12.3,15.6,31/46,3.12,,DEC,0
BALCOM,9.2,21.3,31/46,4.26,,DEC,0
RAINBOW,14,16.9,31/46,3.38,,DEC,0
GNATCATCHER,10.7,16.9,31/46,3.38,,DEC,0
CONDOR,10.8,18.4,31/46,3.68,,DEC,0
ESTABAN,8,16.5,31/45,3.3,,DEC,0
FROZEN,13.4,21.1,31/46,4.22,,DEC,0
TWIN LAKES,8.2,21.6,31/45,4.32,,DEC,0
COBRA,12.4,16.7,31/42,3.34,,DEC,0
JULIUS,10.5,16.1,31/46,3.22,,DEC,0
MARCUS,14.3,15.6,31/46,3.12,,DEC,0
ARLENE,11,17.8,31/46,3.56,,DEC,0
HILLFIELD,13,19.7,31/46,3.94,,DEC,0
RACER,8.1,18.3,31/46,3.66,,DEC,0
BOOTLEGGER,11.3,21.7,31/46,4.34,,DEC,0
BIG ROCK,9.9,20.1,31/46,4.02,,DEC,0
SAND CANYON,13.8,15.5,31/46,3.1,,DEC,0
CABANA,11.5,16.9,31/46,3.38,,DEC,0
RICARDO,12.3,17.6,31/46,3.52,,DEC,0
GUITAR,13.6,17.9,31/46,3.58,,DEC,0
STEEL,9.7,19.7,30/43,3.94,,DEC,0
GRAPEVINE PEAK,12,17.3,31/46,3.46,,DEC,0
NORTHPARK,12.7,21.1,31/46,4.22,,DEC,0
VARGAS,12.8,20.4,31/46,4.08,,DEC,0
DUKE,14.5,16.7,30/46,3.34,,DEC,0
NAPOLEON,10.6,20.4,31/45,4.08,,DEC,0
SWEETWATER,12,17.3,31/46,3.46,,DEC,0
VERA CRUZ,9.7,16.9,28/42,3.38,,DEC,0
PHEASANT,14.3,20.8,31/45,4.16,,DEC,0
RAINBOW,7.7,20.5,31/46,4.1,,DEC,0
NORTHPARK,14,20.5,31/46,4.1,,DEC,0
ATENTO,13.4,19,31/46,3.8,,DEC,0
PETIT,9.9,17.4,31/46,3.48,,DEC,0
FINGAL,13.7,20.9,31/46,4.18,,DEC,0
ESTABAN,9.3,15.4,26/38,3.08,,DEC,0
CASTRO,14.9,21.1,30/46,4.22,,DEC,0
HONEYCRISP,9.3,17.2,29/42,3.44,,DEC,0
METTLER,9.8,16.8,23/37,3.36,,NOV,0
CUDDEBACK,13.1,15.8,23/37,3.16,,NOV,0
GRAPEVINE PEAK,10.7,17.3,31/46,3.46,,NOV,0
FROZEN,11.1,16.1,31/46,3.22,,NOV,0
TUFA,8.1,21.9,31/46,4.38,,NOV,0
CAIN RANCH,12.3,17.9,31/46,3.58,,NOV,0
SHOVEL,11.9,16.5,25/40,3.3,,NOV,0
SAND CANYON,10.7,21.7,31/46,4.34,,NOV,0
BIRCHIM,14.9,17.1,31/46,3.42,,NOV,0
BIRCHIM,10.4,18.8,31/46,3.76,,NOV,0
REVERSE PEAK,8.7,18.2,31/46,3.64,,NOV,0
GNATCATCHER,12,16.7,31/46,3.34,,NOV,0
TANAGER,7.2,20.2,31/44,4.04,,NOV,0
CONDOR,7.2,16.8,31/46,3.36,,NOV,0
CONDOR,8.9,17.9,31/46,3.58,,NOV,0
ARLENE,13.9,20.8,31/46,4.16,,NOV,0
PICK,7,17.6,31/46,3.52,,NOV,0
BOOTLEGGER,11.7,17.1,31/46,3.42,,NOV,0
SHOVEL,8.2,21.3,25/40,4.26,,NOV,0
