Circuit,WindSustained,GustSustained,Thresholds,FPI,Reasons,Month,pspsActivated
HILLFIELD,29.8,43.7,31/46,12.6,High Wind Trend - Exceeded FPI,JAN,1
BLUE CUT,13.6,15.1,31/46,3.02,,NOV,0
VARGAS,11.2,20.9,31/46,4.18,,OCT,0
NAPOLEON,24.8,39.1,31/45,14.04,High Wind Trend - Exceeded FPI,NOV,1
EASTER,12.9,18.2,29/41,3.64,,NOV,0
SOGGY,26.4,40.6,28/40,12,Exceeded Threshold - Exceeded FPI,DEC,1
CORSAIR,35.7,50,30/42,12,Exceeded Threshold - Exceeded FPI,JAN,1
STRATHERN,10.1,20.1,31/46,4.02,,OCT,0
BUCKHORN,17.7,46.47,31/46,12.49,Exceeded Threshold - Exceeded FPI,JAN,1
ARLENE,36,50.5,31/46,13.9,Exceeded Threshold - Exceeded FPI,DEC,1
TAPO,20.19,42.6,31/46,12.97,High Wind Trend - Exceeded FPI,DEC,1
RAINBOW,32.2,46.4,31/46,13.8,Exceeded Threshold - Exceeded FPI,DEC,1
IMPALA,14.6,16.9,31/46,3.38,,OCT,0
COBRA,9.8,18,31/42,3.6,,NOV,0
EASTER,8.8,15.2,29/41,3.04,,DEC,0
RICARDO,37.1,61.2,31/46,12,Exceeded Threshold - Exceeded FPI,DEC,1
GREEN RIVER,11.5,17.6,31/40,3.52,,OCT,0
BLACKHILLS,31,42.89,31/46,12.8,Exceeded Threshold - Exceeded FPI,JAN,1
ECHO,10.5,16.8,31/46,3.36,,OCT,0
ENERGY,11.6,21.5,31/46,4.3,,OCT,0
MARCUS,14.3,15.6,31/46,3.12,,DEC,0
CHAWA,30.9,44.9,31/46,12,High Wind Trend - Exceeded FPI,JAN,1
SHOVEL,25.2,37.3,31/46,12.17,High Wind Trend - Exceeded FPI,DEC,1
DAVENPORT,16.84,43.04,31/46,12.11,High Wind Trend - Exceeded FPI,NOV,1
SCHMIDT,28.6,45.4,31/44,12,Exceeded Threshold - Exceeded FPI,JAN,1
CANYONSHOVEL,28.93,52.46,25/40,12.56,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
CONDOR,27.2,41.9,31/46,12,High Wind Trend - Exceeded FPI,NOV,1
DE MILLE,24.5,47.4,31/46,13.5,Exceeded Threshold - Exceeded FPI,JAN,1
STUBBY,27.6,47.7,31/46,14.43,Exceeded Threshold - Exceeded FPI,DEC,1
CLARINET,14,21.9,31/46,4.38,,OCT,0
ACCENT,12.1,17.8,27/38,3.56,,OCT,0
CUDDEBACK,23,32.7,23/37,12.15,Exceeded Threshold - Exceeded FPI,NOV,1
STEEL,7.9,28.8,30/43,13,High Wind Trend - Exceeded FPI,NOV,1
ANTON,11.8,20.2,31/46,4.04,,OCT,0
LOUCKS,23.6,44,31/46,12.1,High Wind Trend - Exceeded FPI,NOV,1
MODJESKA,27,48.2,30/44,13,Exceeded Threshold - Exceeded FPI,NOV,1
HONEYCRISP,28.9,42.5,29/42,12,Exceeded Threshold - Exceeded FPI,JAN,1
ENERGY,28.5,46,31/46,12.5,Exceeded Threshold - Exceeded FPI,JAN,1
RANIER,11.6,16.2,31/45,3.24,,NOV,0
RAINBOW,9.3,16.2,31/46,3.24,,NOV,0
STAGHORN,13.1,21.7,31/46,4.34,,OCT,0
FORTUNE,12.9,19.9,31/45,3.98,,OCT,0
ATENTO,8.7,20.1,31/46,4.02,,NOV,0
High Wind Trend SKI HI,21.5,40.4,31/46,12.53,Exceeded FPI,NOV,1
CALSTATE,37.6,56.3,31/46,12.5,Exceeded Threshold - Exceeded FPI,JAN,1
High Wind Trend CAMPANULA,11.2,18.2,31/46,3.64,,NOV,0
DUKE,9.8,17.2,30/46,3.44,,NOV,0
ANTON,34.54,56.85,31/46,12.51,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
THACHER,12.6,45.3,29/46,13.92,High Wind Trend - Exceeded FPI,DEC,1
ZONE,7,15.7,31/46,3.14,,NOV,0
SAND CANYON,47,59.7,31/46,12.53,Exceeded Threshold - Exceeded FPI,JAN,1
JONAGOLD,14.6,42.2,28/39,12,Exceeded Threshold - Exceeded FPI,DEC,1
MOUNTAINTAHQUITZ,13.1,19.9,31/46,3.98,,DEC,0
SCHMIDT,8.5,19.3,31/44,3.86,,OCT,0
CABANA,11.5,16.9,31/46,3.38,,DEC,0
SAND,64.87,96.2,31/46,12.58,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
CONDOR,31.9,44.7,31/46,13.6,Exceeded Threshold - Exceeded FPI,DEC,1
SAND CANYON,11.2,21,31/46,4.2,,NOV,0
CANEBRAKE,13.6,18.7,31/46,3.74,,DEC,0
LOPEZ,23.8,45.1,31/46,13.5,High Wind Trend - Exceeded FPI,JAN,1
ESCONDIDO,10,16.8,31/46,3.36,,OCT,0
PINE COVE,8,16.5,27/44,3.3,,DEC,0
NORTHPARK,14,20.5,31/46,4.1,,DEC,0
COBRA,12.4,16.7,31/42,3.34,,DEC,0
BLACKHILLS,27,70,31/46,12.57,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
DUKE,26.3,42.8,30/46,12.3,High Wind Trend - Exceeded FPI,JAN,1
BIRCHIM,27.6,50.1,31/46,14.08,Exceeded Threshold - Exceeded FPI,NOV,1
GILMAN,14.5,18.3,31/45,3.66,,DEC,0
PHEASANT,7.6,21,31/45,4.2,,NOV,0
DONLON,23.5,50.3,31/46,12.5,Exceeded Threshold - Exceeded FPI,JAN,1
ZONE,14.1,15.1,31/46,3.02,,NOV,0
CORSAIR,20.7,39.6,30/42,14.53,High Wind Trend - Exceeded FPI,NOV,1
REJADA,23.4,49.3,31/46,12.93,Exceeded Threshold - Exceeded FPI,DEC,1
DARTMOUTH,12.1,16.6,31/45,3.32,,DEC,0
SCHMIDT,9.9,18.8,31/44,3.76,,NOV,0
ROS,29.5,40.5,27/39,12,Exceeded Threshold - Exceeded FPI,DEC,1
SHOVEL,14.4,18.2,31/46,3.64,,DEC,0
VERDEMONT,40.55,73.65,31/46,12.57,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
HORSE,13.8,18.1,31/46,3.62,,DEC,0
BELPAC,11.5,21.3,31/42,4.26,,OCT,0
SOGGY,11.2,17.3,28/40,3.46,,NOV,0
CUDDEBACK,7.1,21.4,23/37,4.28,,NOV,0
CORSAIR,14,15.2,30/42,3.04,,DEC,0
IMPALA,40.1,57.9,31/46,12.9,Exceeded Threshold - Exceeded FPI,NOV,1
GLASSCOCK,8.3,19.2,31/45,3.84,,DEC,0
VARGAS,23.5,48.3,31/46,12.86,Exceeded Threshold - Exceeded FPI,NOV,1
RED BOX,11.6,21.8,31/46,4.36,,DEC,0
High Wind Trend TUFA,11.5,18,31/46,3.6,,NOV,0
VERA CRUZ,9.7,16.9,28/42,3.38,,DEC,0
TAPO,24.7,45.8,31/46,13.05,High Wind Trend - Exceeded FPI,NOV,1
CALSTATE,12.5,20,31/46,4,,NOV,0
BLUE CUT,37.7,56.9,31/46,,Source Circuit De-Energized: Verdemont,JAN,1
CANYONSAND,57.88,75.33,31/46,12.58,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
GUITAR,28.2,46.3,31/46,13.09,Exceeded Threshold - Exceeded FPI,NOV,1
OAK GLEN,15.1,42.6,27/41,13.35,Exceeded Threshold - Exceeded FPI,DEC,1
GUITAR,27.3,48.7,31/46,13.7,Exceeded Threshold - Exceeded FPI,DEC,1
GOWAN,13.1,16.7,31/46,3.34,,OCT,0
ROUNDEL,7,18.6,31/44,3.72,,DEC,0
ZENDA,11,19.3,31/46,3.86,,DEC,0
BIG ROCK,39.7,59.3,31/46,13.9,Exceeded Threshold - Exceeded FPI,DEC,1
TIMBER CANYON,13.2,19.2,31/46,3.84,,OCT,0
STEEL,9.7,19.7,30/43,3.94,,DEC,0
SUTT,25,44.4,31/46,14.36,High Wind Trend - Exceeded FPI,DEC,1
LAUDA,30,51.4,31/45,12,Exceeded Threshold - Exceeded FPI,JAN,1
ANTON,8.5,16.9,31/46,3.38,,OCT,0
SAND CANYON,10.5,18.6,31/46,3.72,,DEC,0
GRAPEVINE,9,15,31/46,12.08,High Wind Trend - Exceeded FPI,NOV,1
LANGER,29.5,46.8,31/45,12.4,Exceeded Threshold - Exceeded FPI,JAN,1
GUNSITE,27.6,47.7,31/46,12.13,Exceeded Threshold - Exceeded FPI,DEC,1
ECHO,29.5,44.7,31/46,13.7,High Wind Trend - Exceeded FPI,JAN,1
DELUZ,27.1,42.5,27/44,10.98, High Wind Trend,NOV,1
SAND CANYON,13.6,17.8,31/46,3.56,,DEC,0
ANTON,8.6,18.2,31/46,3.64,,SEP,0
TWIN LAKES,42.6,58.7,31/45,13.9,Exceeded Threshold - Exceeded FPI,DEC,1
BLUE CUT,20.7,42.7,31/46,12,High Wind Trend - Exceeded FPI,NOV,1
PLATEAU,29.3,42.5,31/46,12.63,High Wind Trend - Exceeded FPI,JAN,1
BIG ROCK,42,59.3,31/46,12.8,Exceeded Threshold - Exceeded FPI,JAN,1
ANGUS,26.5,45.6,31/46,12.06,High Wind Trend - Exceeded FPI,NOV,1
BLUE CUT,10.4,19.2,31/46,3.84,,OCT,0
ACOSTA,34.63,67.81,31/46,12.56,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
BIRCHIM,14.9,17.1,31/46,3.42,,NOV,0
RAINBOW,14.4,15.6,31/46,3.12,,OCT,0
BIG ROCK,7.7,19.7,31/46,3.94,,OCT,0
ANTON,24.8,50.1,31/46,12.5,Exceeded Threshold - Exceeded FPI,JAN,1
ANACONDA,23.8,42.2,31/42,13.47,Exceeded Threshold - Exceeded FPI,DEC,1
SAND CANYON,25.5,48.1,31/46,13.9,Exceeded Threshold - Exceeded FPI,DEC,1
STAGHORN,29.9,49.3,31/46,12,Exceeded Threshold - Exceeded FPI,JAN,1
SAND CANYON,23,38.3,31/46,12.98,High Wind Trend - Exceeded FPI,DEC,1
STORES,10.6,18.8,31/46,3.76,,DEC,0
OAK KNOLL,14.7,21.9,31/46,4.38,,NOV,0
LOPEZ,12,16.3,31/46,3.26,,OCT,0
LAZARO,7.5,21.3,28/40,4.26,,NOV,0
CANYONSHOVEL,11,15,25/40,3,,OCT,0
NORTHPARK,16.32,41.5,31/46,13.99,High Wind Trend - Exceeded FPI,NOV,1
ARLENE,36.6,51.7,31/46,12,Exceeded Threshold - Exceeded FPI,DEC,1
ZONE,9.3,16.3,31/46,3.26,,NOV,0
SWEETWATER,13.3,15.9,31/46,3.18,,OCT,0
SAND CANYON,13.4,18.5,31/46,3.7,,DEC,0
VETERANS,13.1,44.9,31/46,14.01,High Wind Trend - Exceeded FPI,NOV,1
DONLON,30,54.1,31/46,12.5,Exceeded Threshold - Exceeded FPI,JAN,1
JULIUS,8.5,15.2,31/46,3.04,,OCT,0
LOCKNER,19.4,45.2,31/45,12.97,Exceeded Threshold - Exceeded FPI,DEC,1
ENCHANTED,23.4,49.3,31/46,12.93,Exceeded Threshold - Exceeded FPI,DEC,1
TAIWAN,7.3,17.9,31/46,3.58,,OCT,0
BIG ROCK,27,70,31/46,12.57,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
GRAPEVINE PEAK,10.7,17.3,31/46,3.46,,NOV,0
DAVENPORT,10.8,15.5,31/46,3.1,,OCT,0
FINGAL,13.7,17.2,31/46,3.44,,NOV,0
LOPEZ,12.5,19.1,31/46,3.82,,OCT,0
NEPAL,10.4,20.4,31/44,4.08,,OCT,0
PICK,19.91,44.57,31/46,12.82,High Wind Trend - Exceeded FPI,JAN,1
RACER,38.2,49.4,31/46,12.09,Exceeded Threshold - Exceeded FPI,NOV,1
FOOTHILL,23.7,34.3,26/36,12.92,High Wind Trend - Exceeded FPI,DEC,1
ENERGY,35.63,54.51,31/46,12.54,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
TWIN LAKES,8.6,17,31/45,3.4,,OCT,0
TANAGER,27.6,38.7,31/44,12,High Wind Trend - Exceeded FPI,NOV,1
VIENTO,13.9,21,31/46,4.2,,NOV,0
SHERWOOD,28.7,47.4,31/46,12.6,Source Circuit De-Energized: Coventry,JAN,1
EASTER,21.6,39.4,29/41,12.97,High Wind Trend - Exceeded FPI,NOV,1
FINGAL,8.4,20.5,31/46,4.1,,NOV,0
DONLON,11.9,20.1,31/46,4.02,,OCT,0
KICKAPOO,11.7,16.2,31/46,3.24,,OCT,0
MIDDLE ROAD,24,46.2,26/42,12.7,Exceeded Threshold - Exceeded FPI,JAN,1
RANKIN,13.2,18.1,31/46,3.62,,DEC,0
FERRARA,8,17.8,31/46,3.56,,NOV,0
TAIWAN,10.9,20.4,31/46,4.08,,NOV,0
BOUQUET,31.6,50.1,31/46,12.8,Exceeded Threshold - Exceeded FPI,JAN,1
COBRA,26.7,40.5,31/42,12.6,High Wind Trend - Exceeded FPI,JAN,1
SNOW VALLEY,8.1,21.7,31/46,4.34,,DEC,0
DAVENPORT,13.7,15.1,31/46,3.02,,NOV,0
VERA CRUZ,25,36.7,28.04/42,12.95,High Wind Trend - Exceeded FPI,DEC,1
CASTRO,12.6,18.2,30/46,3.64,,DEC,0
HONEYCRISP,29.6,46.2,29/42,12.8,Exceeded Threshold - Exceeded FPI,DEC,1
SAVORY,43.3,63.3,29/42,12.5,Exceeded Threshold - Exceeded FPI,JAN,1
NAPA,9.7,15.7,28/39,3.14,,NOV,0
TWIN LAKES,8.2,21.6,31/45,4.32,,DEC,0
ATENTO,19.1,41.57,31/46,12.93,High Wind Trend - Exceeded FPI,NOV,1
RACER,15,19,31/46,3.8,,OCT,0
BIANCO,12.2,20.9,31/40,4.18,,DEC,0
ANTON,40.6,55.8,31/46,12.7,Exceeded Threshold - Exceeded FPI,JAN,1
DAVENPORT,20.23,41.12,31/46,12.57,High Wind Trend - Exceeded FPI,OCT,1
CORSAIR,12.8,21.6,30/42,4.32,,NOV,0
BLACKHILLS,7.4,20.6,31/46,4.12,,OCT,0
ANTON,14.8,18.4,31/46,3.68,,DEC,0
ANTON,29.26,47.79,31/46,12.5,Exceeded Threshold - Exceeded FPI,JAN,1
CUTHBERT,11.5,21.2,31/46,4.24,,DEC,0
MOUNTAINTAHQUITZ,31,46.5,31/46,14.41,Exceeded Threshold - Exceeded FPI,DEC,1
TAPO,19.3,41.72,31/46,12.64,High Wind Trend - Exceeded FPI,JAN,1
CANYONSAND,14.9,21.5,31/46,4.3,,OCT,0
STUBBY,8,15.9,31/46,3.18,,NOV,0
TWIN LAKES,27.12,69.85,31/45,12.57,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
CONINE,9,16.1,28/40,3.22,,OCT,0
METTLER,7.9,17.5,23/37,3.5,,DEC,0
ALOLA #2,13.9,40.9,31/44,14.28,High Wind Trend - Exceeded FPI,DEC,1
BUCKHORN,10.2,16.2,31/46,3.24,,OCT,0
SUTT,10.5,21.6,31/46,4.32,,DEC,0
AMETHYST,8.7,16.1,31/46,3.22,,NOV,0
LOUCKS,25.2,37.3,31/46,13.54,High Wind Trend - Exceeded FPI,DEC,1
CONDOR,26,37.6,31/46,14.1,High Wind Trend - Exceeded FPI,NOV,1
TAPO,8.7,15.8,31/46,3.16,,NOV,0
CUTHBERT,29,40.2,31/46,12,High Wind Trend - Exceeded FPI,DEC,1
SAND CANYON,25.39,45.23,31/46,13.1,High Wind Trend - Exceeded FPI,NOV,1
LOPEZ,16.4,42.4,31/46,14.46,High Wind Trend - Exceeded FPI,DEC,1
BOOTLEGGER,7.6,15.5,31/46,3.1,,OCT,0
RAINBOW,23,46.7,31/46,12.5,Exceeded Threshold - Exceeded FPI,JAN,1
DAVENPORT,14.7,16.9,31/46,3.38,,DEC,0
GUITAR,11.6,17.6,31/46,3.52,,OCT,0
ARLENE,11.3,20.1,31/46,4.02,,DEC,0
ZONE,23.6,44.1,31/46,13.01,High Wind Trend - Exceeded FPI,NOV,1
SAUNDERS,8.2,20.5,27/44,4.1,,DEC,0
PARINA,14,20.6,28/36,4.12,,DEC,0
CHAWA,29.9,40,31/46,12,High Wind Trend - Exceeded FPI,DEC,1
BING,7.2,15.4,31/45,3.08,,NOV,0
GALENA,12.5,20.4,31/46,4.08,,OCT,0
BOOTLEGGER,7.9,21.8,31/46,4.36,,SEP,0
SAGINAW,10.3,21.4,24/40,4.28,,OCT,0
BALCOM,9.6,19.7,31/46,3.94,,DEC,0
ARROWHEAD,51.3,64.7,40/58,12.38,Exceeded Threshold - Exceeded FPI,NOV,1
ECHO,7.8,20.2,31/46,4.04,,DEC,0
TUBA,8.3,19,31/46,3.8,,OCT,0
NORTHPARK,27,48.2,31/46,13.9,Exceeded Threshold - Exceeded FPI,DEC,1
STORES,29.8,45.8,31/46,14.44,High Wind Trend - Exceeded FPI,DEC,1
STEEL,10.5,18.2,30/43,3.64,,OCT,0
DONLON,12.2,21,31/46,4.2,,OCT,0
ENERGY,11.2,15,31/46,3,,NOV,0
WOBEGONE,8.9,18.5,28/40,3.7,,NOV,0
BIG ROCK,20.3,48.1,31/46,13,Exceeded Threshold - Exceeded FPI,NOV,1
COBRA,28.2,42,31/42,12.05,High Wind Trend - Exceeded FPI,NOV,1
ESTABAN,8.4,17.2,31/45,3.44,,DEC,0
SAND CANYON,8.6,15,31/46,3,,OCT,0
CALSTATE,41.6,59.7,31/46,12,Exceeded Threshold - Exceeded FPI,NOV,1
CANEBRAKE,29.6,41.1,31/46,12.2,High Wind Trend - Exceeded FPI,JAN,1
HILLFIELD,36.64,54.24,31/46,12.58,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
ICEHOUSE,12.6,22,31/46,4.4,,NOV,0
SAVORY,9.9,15.8,29/42,3.16,,DEC,0
ATENTO,13.4,19,31/46,3.8,,DEC,0
CALSTATE,8.5,21.9,31/46,4.38,,DEC,0
High Wind Trend SKI HI,7.4,19.8,31/46,3.96,,NOV,0
CONDOR,22.8,44.4,31/46,13.1,High Wind Trend - Exceeded FPI,JAN,1
FINGAL,23.8,42.6,31/46,12.09,High Wind Trend - Exceeded FPI,DEC,1
SWEETWATER,33.4,49.8,31/46,12.5,Exceeded Threshold - Exceeded FPI,JAN,1
FERRARA,15.15,48.44,31/46,14.3,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
ENERGY,7.6,16.1,31/46,3.22,,NOV,0
METTLER,20.6,31.9,23/37,12.7,High Wind Trend - Exceeded FPI,JAN,1
CALSTATE,11.2,17.2,31/46,3.44,,NOV,0
BALCOM,28.1,46.6,31/46,12,High Wind Trend - Exceeded FPI,DEC,1
AVANTI,40.55,73.65,31/46,12.56,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
ACCENT,26.3,37.9,27/38,12,High Wind Trend - Exceeded FPI,JAN,1
VERDEMONT,14,19.3,31/46,3.86,,OCT,0
RAINBOW,21.9,40.4,31/46,13.01,High Wind Trend - Exceeded FPI,NOV,1
SAVORY,12,15.5,29/42,3.1,,NOV,0
CONDOR,27.2,41.9,31/46,13.51,High Wind Trend - Exceeded FPI,DEC,1
RED BOX,54,79,31/46,14.11,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
KINSEY,8.8,21.8,31/46,4.36,,OCT,0
EASTER,11.8,15,29/41,3,,OCT,0
GILMAN,7.9,28.8,31/45,13.02,High Wind Trend - Exceeded FPI,NOV,1
SANTORINI,9.2,21,31/42,4.2,,DEC,0
NAPOLEON,28.9,45.2,31/45,12.98,Exceeded Threshold - Exceeded FPI,DEC,1
GILLIBRAND,9,16.7,31/46,3.34,,DEC,0
LOUCKS,10.6,18.3,31/46,3.66,,SEP,0
IMPALA,25.7,57.4,31/46,12.78,Exceeded Threshold - Exceeded FPI,DEC,1
ANACONDA,14.5,18.2,31/42,3.64,,DEC,0
CAMP BALDY,8.5,20.7,31/46,4.14,,NOV,0
STEEL,24.5,42.2,30/43,13,Exceeded FPI,NOV,1
STEARNS,9.1,17.5,31/46,3.5,,DEC,0
CALGROVE,7.2,20.1,31/46,4.02,,OCT,0
ZONE,23,46.7,31/46,12.5,Exceeded Threshold - Exceeded FPI,JAN,1
ATENTO,10.8,20.5,31/46,4.1,,OCT,0
TAHQUITZ,7.3,17.4,31/46,3.48,,OCT,0
BALCOM,7,18.1,31/46,3.62,,OCT,0
AMETHYST,30.94,51,31/46,12.55,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
SWEETWATER,13.7,21.4,31/46,4.28,,OCT,0
CASSIDY,9.7,17.7,31/46,3.54,,OCT,0
FANO,14.6,17.4,28/40,3.48,,DEC,0
ANTON,8.8,19.6,31/46,3.92,,NOV,0
MOCCASIN,10.6,16.5,31/46,3.3,,OCT,0
ARLENE,13.9,20.8,31/46,4.16,,NOV,0
ESTABAN,28.2,51.8,31/45,13.4,Exceeded Threshold - Exceeded FPI,JAN,1
CALSTATE,37.2,61.6,31/46,12,Exceeded Threshold - Exceeded FPI,NOV,1
RACER,8.1,18.3,31/46,3.66,,DEC,0
ENERGY,10.1,18.7,31/46,3.74,,DEC,0
ENERGY,11.1,15.9,31/46,3.18,,DEC,0
NAPOLEON,23.7,44.6,31/45,12.98,High Wind Trend - Exceeded FPI,DEC,1
ESTABAN,8,16.5,31/45,3.3,,DEC,0
VIDEO,8.5,17.9,28/45,3.58,,OCT,0
FANO,16.8,38.3,28/40,12.92,High Wind Trend - Exceeded FPI,DEC,1
