County,Circuit,Reason,FPI,WindSustained,GustSustained,Thresholds,Month,pspsActivated
Ventura,RAINBOW,"High Wind TrendExceeded FPI",12.5,28.1,38,31/46,January,1
Ventura,TAPO,"High Wind TrendExceeded FPI",12.64,19.3,41.72,31/46,January,1
Ventura,CASTRO,"Exceeded ThresholdExceeded FPI",12.41,28.5,49.17,29.8/46,January,1
Ventura,ESTABAN,"High Wind TrendExceeded FPI",13.4,21.6,43.26,31/44.8,January,1
Ventura,BUCKHORN,"Exceeded ThresholdExceeded FPI",12.49,17.7,46.47,31/46,January,1
Ventura,TIMBER CANYON,"High Wind TrendExceeded FPI",12.5,26.6,45.7,31/46,January,1
Ventura,ANGUS,"Exceeded ThresholdExceeded FPI",12.4,28.8,46,31/46,January,1
Ventura,ZONE,"Exceeded ThresholdExceeded FPI",12.5,28.7,46.3,31/46,January,1
Ventura,RICARDO,"Exceeded ThresholdExceeded FPI",12.4,31.1,55.3,31/46,January,1
Ventura,RAINBOW,"Exceeded ThresholdExceeded FPI",12.5,23,46.7,31/46,January,1
Ventura,ZONE,"Exceeded ThresholdExceeded FPI",12.5,23,46.7,31/46,January,1
Ventura,AMBERCREST,"Exceeded ThresholdExceeded FPI",12.4,29.5,46.8,31/44,January,1
Ventura,HAMPSHIRE,"Exceeded ThresholdExceeded FPI",12.4,29.5,46.8,31/45,January,1
Ventura,HILLCREST,"Exceeded ThresholdExceeded FPI",12.6,34.6,50.3,31/45,January,1
Ventura,GOLDSMITH,"Exceeded ThresholdExceeded FPI",13.1,29.5,46.8,31/45,January,1
Ventura,LANGER,"Exceeded ThresholdExceeded FPI",12.4,29.5,46.8,31/45,January,1
Ventura,CASSIDY,"Exceeded ThresholdExceeded FPI",12.5,29.1,49.3,31/46,January,1
Ventura,ANTON,"Exceeded ThresholdExceeded FPI",12.5,24.8,50.1,31/46,January,1
Ventura,ENCHANTED,"Exceeded ThresholdExceeded FPI",12.5,29.4,53.2,31/46,January,1
Ventura,MIDDLE ROAD,"Exceeded ThresholdExceeded FPI",12.7,24,46.2,26/42,January,1
Ventura,ESTABAN,"Exceeded ThresholdExceeded FPI",13.4,28.2,51.8,31/45,January,1
Ventura,MORGANSTEIN,"Exceeded ThresholdExceeded FPI",12.5,27.4,48.7,31/46,January,1
Ventura,ROSA,"Exceeded ThresholdExceeded FPI",12.1,32.1,49.9,31/46,January,1
Ventura,DONLON,"Exceeded ThresholdExceeded FPI",12.5,32.1,49.9,31/46,January,1
Ventura,WHITECLIFF,"Exceeded ThresholdExceeded FPI",12.4,34.2,48,31/46,January,1
Ventura,DONLON,"Exceeded ThresholdExceeded FPI",12.5,30,54.1,31/46,January,1
Ventura,DONLON,"Exceeded ThresholdExceeded FPI",12.5,23.5,50.3,31/46,January,1
Ventura,BUCKNER,"Exceeded ThresholdExceeded FPI",12.4,28.7,54.6,31/45,January,1
Ventura,ERRINGER,"Exceeded ThresholdExceeded FPI",12.5,28.7,54.6,31/45,January,1
Ventura,EVERETT,"Exceeded ThresholdExceeded FPI",12.1,31.7,61.2,31/46,January,1
Ventura,STRATHERN,"Exceeded ThresholdExceeded FPI",12.4,31.7,61.2,31/46,January,1
Ventura,COVENTRY,"Exceeded ThresholdExceeded FPI",12.6,28.7,47.4,31/46,January,1
Ventura,SHERWOOD,"Source Circuit De?Energized: Coventry",12.6,28.7,47.4,31/46,January,1
Ventura,WHITECLIFF,"Exceeded ThresholdExceeded FPI",12.42,34.2,48,31/46,January,1
Riverside,ACCENT,"High Wind TrendExceeded FPI",12,26.3,37.9,27/38,January,1
