Circuit,time,FPI,WindSustained,GustSustained,Thresholds
CANEBRAKE,10/23/2021 12:00,0.009876809,0,27.70830939,31/46
BLUE CUT,10/23/2021 12:00,0.269601282,0,33.87787092,31/46
SUTT,10/23/2021 12:00,0.663947381,0.379746525,35.16219238,31/46
SWEETWATER,10/23/2021 12:00,0.605871109,0.177133239,35.83226553,31/46
VERDEMONT,10/23/2021 12:00,0,0,30.38794873,31/46
VIDEO,10/23/2021 12:00,0,0,25.90408798,28/45
COBRA,10/23/2021 12:00,0,1.326363163,36.35646232,31/42
JULIUS,10/23/2021 12:00,0.518450081,0.624086658,27.49174688,31/46
MARCUS,10/23/2021 12:00,0.309668399,0.023190315,29.16313274,31/46
RICARDO,10/23/2021 12:00,0.285106281,0,31.02862923,31/46
STEEL,10/23/2021 12:00,0.126622792,0,22.60211807,30/43
PURCHASE,10/23/2021 12:00,0.380205389,0.356478392,23.23814983,31/46
BEAR VALLEY,10/23/2021 12:00,0,0,34.87938084,18/29
ARLENE,10/23/2021 12:00,0,0.929604391,35.60349265,31/46
GREAT SALT,10/23/2021 12:00,0.128739816,0.620383517,33.67583912,29/42
RACER,10/23/2021 12:00,0,0.002293333,34.11529896,31/46
VERA CRUZ,10/23/2021 12:00,0.065134694,0.82374154,36.25840615,28/42
TWIN LAKES,10/23/2021 12:00,0.608696137,0,27.81302751,31/45
HONEYCRISP,10/23/2021 12:00,0.45591646,0,31.26813375,29/42
GUNSITE,10/23/2021 12:00,0,0,33.60797433,31/46
GRAPEVINE PEAK,10/23/2021 12:00,0,0,31.57666434,31/46
TUFA,10/23/2021 12:00,0.51498765,0.64374948,35.32447299,31/46
CABANA,10/23/2021 12:00,0,0,30.59210649,31/46
SOGGY,10/23/2021 12:00,0.218742237,0.606573413,33.11588004,28/40
BIRCHIM,10/23/2021 12:00,0,0.509414582,31.39160138,31/46
REVERSE PEAK,10/23/2021 12:00,0.017890079,0,35.37576641,31/46
TANAGER,10/23/2021 12:00,0,0,32.30914797,30.67/44.07
PHEASANT,10/23/2021 12:00,0,1.288677485,31.3469878,31/45
CAMP BALDY,10/23/2021 12:00,0,0,26.39496774,31/46
ICEHOUSE,10/23/2021 12:00,0,0,28.21064005,31/46
ACOSTA,10/23/2021 12:00,0,0,34.72656749,31/46
TIMBER CANYON,10/23/2021 12:00,0.662429127,1.550657998,28.47285244,31/46
AVANTI,10/23/2021 12:00,0,0.264640488,26.44547772,31/46
CAIN RANCH,10/23/2021 12:00,0.147674269,0,30.8041916,31/46
EVERETT,10/23/2021 12:00,0.632555982,0.775453073,33.23368914,31/46
SONOMA,10/23/2021 12:00,0.061230714,1.508817621,36.168114,27/39
ACCENT,10/23/2021 12:00,0.242956131,0,27.8810593,27/38
COVENTRY,10/23/2021 12:00,0.182023258,0.193386345,34.25802995,31/46
ZENDA,10/23/2021 12:10,1.143528717,0.586212901,32.67487762,31/46
GOLDSMITH,10/23/2021 12:10,0,0,31.29912971,31/45
BUCKNER,10/23/2021 12:10,0,0.706385206,34.87689792,31/45
MOCCASIN,10/23/2021 12:10,0.226230334,1.309461112,35.16350866,31/46
TAPO,10/23/2021 12:10,0,0,28.01250865,31/46
CUTHBERT,10/23/2021 12:10,0,0,24.86955107,31/46
BOOTLEGGER,10/23/2021 12:10,0.611212731,1.628302635,28.15885465,31/46
TIMBER CANYON,10/23/2021 12:10,0.665223529,1.073518275,34.34696824,31/46
FOOTHILL,10/23/2021 12:10,0.053321457,0.868201733,32.18355299,26/36
REJADA,10/23/2021 12:10,0.134202266,1.896935932,33.86660922,31/46
SAND CANYON,10/23/2021 12:10,0.375028172,0.454187266,32.14617714,31/46
TAIWAN,10/23/2021 12:10,0.028428599,0.47093252,22.74581137,31/46
VERA CRUZ,10/23/2021 12:10,0,1.515189405,28.29548241,28/42
MARCUS,10/23/2021 12:10,0.530445083,0,34.37206736,31/46
RAINBOW,10/23/2021 12:10,0.004097168,1.389478275,29.76578324,31/46
BENCH,10/23/2021 12:10,0.147330069,2.153568143,30.0830088,29/42
WOBEGONE,10/23/2021 12:10,0,0.019704267,28.25606198,28/40
ATENTO,10/23/2021 12:10,0,0.136548874,34.07134346,31/46
MORGANSTEIN,10/23/2021 12:10,0,0,34.28713091,31/46
ANGUS,10/23/2021 12:10,0.222973824,0,30.52633706,31/46
RMV 1243,10/23/2021 12:10,0.52702044,0.654508632,30.32486546,31/46
PATRICIA,10/23/2021 12:10,1.494394614,1.154521758,37.01690404,31/46
CLUB OAKS,10/23/2021 12:10,0.267532116,0,29.99934225,31/46
WINERY,10/23/2021 12:10,0.525546544,0.357337042,31.64323011,29/42
RICARDO,10/23/2021 12:10,0,0,27.90128546,31/46
KINSEY,10/23/2021 12:10,0,0.323704278,29.93684536,31/46
ICE HOUSE,10/23/2021 12:10,0,0.818256538,34.93102417,31/46
NAPA,10/23/2021 12:10,0.192916062,3.095306412,30.73489221,28/39
CARMELITA,10/23/2021 12:10,0,0.927688161,27.94213941,31/46
STUBBY,10/23/2021 12:10,0.666570945,1.651086672,27.73406828,31/46
PYLE,10/23/2021 12:10,0,0,33.67620808,28/44
ALOLA #2,10/23/2021 12:10,0,1.179684522,26.13819726,31/44
BING,10/23/2021 12:10,0.421526927,0.648977937,25.61782717,31/45
SAGINAW,10/23/2021 12:10,0.076747157,0.403094564,25.23425251,24/40
VARGAS,10/23/2021 12:10,0.532399261,0,28.85597073,31/46
FANO,10/23/2021 12:10,0.193665962,0,32.55299709,28/40
JONAGOLD,10/23/2021 12:10,0.674667449,0,32.79825954,28/39
LAZARO,10/23/2021 12:10,0,2.60120856,29.53492973,28/40
ERRINGER,10/23/2021 12:10,0.904333318,0,34.54096436,31/45
COBRA,10/23/2021 12:10,0,0.849661409,28.82805505,31/42
CAESAR,10/23/2021 12:10,0.221465702,0,34.24665881,31/45
STORES,10/23/2021 12:10,0.229593222,0.555826787,28.85971917,31/46
CONDOR,10/23/2021 12:10,0,0.032424723,23.17627865,31/46
SAVORY,10/23/2021 12:10,0.086812899,1.72073547,33.3976871,29/42
WHITECLIFF,10/23/2021 12:10,0,0.301262113,29.18409196,31/46
BADGER,10/23/2021 12:10,0.902369827,2.94928938,31.61331226,31/46
LOCKNER,10/23/2021 12:10,0,1.154279752,25.58009462,31/45
THACHER,10/23/2021 12:10,0.822128103,0,27.97972256,29/46
SNOW VALLEY,10/23/2021 12:10,0.240730893,2.475229608,34.47331313,31/46
TWIN LAKES,10/23/2021 12:10,0.609672343,0.692623632,32.16551494,31/45
JULIUS,10/23/2021 12:10,0.616520038,0.20705044,29.68184686,31/46
JORDAN,10/23/2021 12:10,0,0,28.23285037,27/46
ECHO,10/23/2021 12:10,0.050214851,0.750856594,24.88812488,31/46
REVERSE PEAK,10/23/2021 12:10,0.532104838,0,38.09473644,31/46
PINE COVE,10/23/2021 12:10,0,0.920253432,30.33491361,27/44
ENCHANTED,10/23/2021 12:10,0.253619738,0.665420845,30.45288742,31/46
GREEN RIVER,10/23/2021 12:10,0.612678547,0.555423694,25.99788771,30.55/39.5
FINGAL,10/23/2021 12:10,0.37203175,1.489141576,32.74598029,31/46
DIAMONDBACK,10/23/2021 12:10,0.255771523,0.234614087,27.53179801,31/42
GRAPEVINE PEAK,10/23/2021 12:10,0,0,30.21883334,31/46
SANTORINI,10/23/2021 12:10,0,1.529278894,33.84616078,31/42
PARINA,10/23/2021 12:10,0.078555878,0.585739052,28.10663885,28/36
RUSTIC,10/23/2021 12:10,0,0,32.24234713,31/46
GREAT SALT,10/23/2021 12:10,0.351728247,0.672995822,30.61095292,29/42
CANEBRAKE,10/23/2021 12:10,0,1.223396374,31.36658938,31/46
TANAGER,10/23/2021 12:10,0.034906897,0,25.69812806,30.67/44.07
CAMP BALDY,10/23/2021 12:10,0.480420588,0,24.21656084,31/46
JEEP,10/23/2021 12:10,0,0.384721423,35.02477967,27/43
BEAR VALLEY,10/23/2021 12:10,0.588501554,0,33.89372978,18/29
GILMAN,10/23/2021 12:10,0,0,26.91728215,31/45
PURCHASE,10/23/2021 12:10,0.663518672,0.465544899,28.3793492,31/46
DAVENPORT,10/23/2021 12:10,0.283880275,0.240703,35.61784306,31/46
TAGGERT,10/23/2021 12:10,0,0.27745019,27.15951543,31/46
LYONS,10/23/2021 12:10,0,0,30.30043015,31/46
FROZEN,10/23/2021 12:10,0.389062943,1.111731482,26.23289481,31/46
CHAWA,10/23/2021 12:10,0.786711381,0,21.21890684,31/46
ROUNDEL,10/23/2021 12:10,0,1.458777,28.05742616,31/44
FLAKE,10/23/2021 12:10,0,0,29.5067241,28/36
IMPALA,10/23/2021 12:10,0,0.888344184,29.8826988,31/46
Kuehner,10/23/2021 12:10,0.586204358,0.560539298,31.45407797,31/46
HILLCREST,10/23/2021 12:10,0.035120213,0,25.9014497,31/45
ROSA,10/23/2021 12:10,0,0,30.28923369,31/46
TOWNSHIP,10/23/2021 12:10,0.189946278,0.812818128,32.52452297,31/45
PETIT,10/23/2021 12:10,0.921006554,0,29.52015861,31/46
BONNEVILLE,10/23/2021 12:10,0.239470337,1.553712328,37.35107787,28/40
BIANCO,10/23/2021 12:10,0,0,33.34045503,31/40
RANKIN,10/23/2021 12:10,0.230554151,0,32.7710909,31/46
LOUCKS,10/23/2021 12:10,0.042896335,0.539315001,29.21209627,31/46
VIENTO,10/23/2021 12:10,0,0,30.69515904,31/46
METTLER,10/23/2021 12:10,0.399911322,1.541933546,30.99205313,23/37
PASCAL,10/23/2021 12:10,0.989567716,0.647702844,26.43634781,31/44
DUKE,10/23/2021 12:10,0,0,29.64149002,30/46
ROS,10/23/2021 12:10,0.253116177,0,27.59007734,27/39
GOWAN,10/23/2021 12:10,0.049981816,1.723990588,31.46555995,31/46
EASTER,10/23/2021 12:10,0,0.988046399,27.09334012,29/41
FLYING D,10/23/2021 12:10,0.561004259,0,29.58064952,31/46
OAK KNOLL,10/23/2021 12:10,0,0,31.69638381,31/46
AMETHYST,10/23/2021 12:10,0.190752088,0.637703863,30.22866306,31/46
ESTABAN,10/23/2021 12:10,0.565462994,0.618478513,35.11253428,31/45
COLLINS,10/23/2021 12:10,0.296861887,0.234810308,26.45188998,31/43
SCHMIDT,10/23/2021 12:10,0.476699273,1.021343624,30.03770107,31/44
AVANTI,10/23/2021 12:10,0,1.679250887,26.96258741,31/46
SHOVEL,10/23/2021 12:10,0.093993713,0,36.45936743,25/40
TOGA,10/23/2021 12:10,0.002001855,0.014977436,32.40887083,31/41.7
AMBERCREST,10/23/2021 12:10,0.190190888,0,30.00115029,31/44
NORTHPARK,10/23/2021 12:10,0,0.382506696,27.76534559,31/46
TUFA,10/23/2021 12:10,0.414264624,0.814372572,30.51528196,31/46
DONLON,10/23/2021 12:10,0,0,29.3790156,31/46
FORTUNE,10/23/2021 12:10,0,0.335506598,33.6458259,31/45
RACER,10/23/2021 12:10,0,0,30.77430151,31/46
SONOMA,10/23/2021 12:10,0,0.736474162,27.19133965,27/39
ENERGY,10/23/2021 12:10,0.997630314,0.209706805,35.72903571,31/46
CASSIDY,10/23/2021 12:10,0,0,28.26242241,31/46
ARLENE,10/23/2021 12:10,0.302854581,1.192466103,33.77862672,31/46
LAUDA,10/23/2021 12:10,0,0.973422861,33.3383641,31/45
BALCOM,10/23/2021 12:10,0.758188543,0.499853931,33.47162289,31/46
STEEL,10/23/2021 12:10,0.049590347,0.658728023,28.22149409,30/43
PYTHON,10/23/2021 12:10,0.104859062,0.63748097,34.03880307,31/46
PICK,10/23/2021 12:10,0,0,30.359698,31/46
STEARNS,10/23/2021 12:10,0.888794902,0.957945609,29.14568451,31/46
CORSAIR,10/23/2021 12:10,0.023296885,0.945399533,25.20047184,30/42
HAMPSHIRE,10/23/2021 12:10,0.18272434,0.150040444,30.93439476,31/45
GNATCATCHER,10/23/2021 12:10,0.031096127,1.269319122,30.04814406,31/46
MIDDLE ROAD,10/23/2021 12:10,0.213766546,1.230882406,32.05256299,26/42
DYSART,10/23/2021 12:10,0.004265482,1.881510317,34.0063721,31/46
CUDDEBACK,10/23/2021 12:10,0.473152682,0.077887072,35.09793562,23/37
BIG ROCK,10/23/2021 12:10,0,0.471012387,30.13434523,31/46
CALGROVE,10/23/2021 12:10,0.118769144,0.276172929,32.36915922,31/46
SAUNDERS,10/23/2021 12:10,0.792572373,1.897950659,33.34296857,27/44
ANTON,10/23/2021 12:10,0,0,31.09079186,31/46
HILLFIELD,10/23/2021 12:10,0.692923635,1.767472967,27.13196525,31/46
GABBERT,10/23/2021 12:10,0.10957815,0.186181879,30.93330807,31/46
TUBA,10/23/2021 12:10,0.879315847,0.548355204,34.40146562,31/46
PLATEAU,10/23/2021 12:10,0,1.360482437,28.35110688,31/46
CAIN RANCH,10/23/2021 12:10,0,0,22.89595289,31/46
DE MILLE,10/23/2021 12:10,0,0.064040156,25.78557805,31/46
BIRCHIM,10/23/2021 12:10,0,1.10347836,30.20310893,31/46
ZONE,10/23/2021 12:10,0.123619276,0,28.10218592,31/46
ACOSTA,10/23/2021 12:10,0.197752232,0,31.07975191,31/46
SUTT,10/23/2021 12:10,1.668120481,0,26.74845004,31/46
SOGGY,10/23/2021 12:10,0,0,30.14182792,28/40
CONINE,10/23/2021 12:10,0,0.027849125,32.56104066,28/40
BLACKHILLS,10/23/2021 12:10,0.187703713,0,29.56281618,31/46
ACCENT,10/23/2021 12:10,0.91868736,0.391594212,25.95573559,27/38
STRATHERN,10/23/2021 12:10,0.047721336,0.189654799,30.08862906,31/46
LOPEZ,10/23/2021 12:10,1.451817217,0.19012644,30.61967037,31/46
VETERANS,10/23/2021 12:10,0.776278375,0.00857898,29.90829471,31/46
BELPAC,10/23/2021 12:10,0.430998086,0.98861372,28.17781667,31/42.42
EVERETT,10/23/2021 12:10,0.067696796,0,27.65046631,31/46
CABANA,10/23/2021 12:10,0,0.463316232,28.23574684,31/46
VERDEMONT,10/23/2021 12:10,0,0,28.5396319,31/46
OLIVER,10/23/2021 12:10,0.404054689,0,34.92743412,29/42
HONEYCRISP,10/23/2021 12:10,0.741193173,0.746682425,28.69147383,29/42
GUNSITE,10/23/2021 12:10,0.446172082,1.025210951,36.2852577,31/46
BOUQUET,10/23/2021 12:10,0.238671966,1.278375783,30.2734774,31/46
BLUE CUT,10/23/2021 12:10,0,0.028313871,31.41886422,31/46
ANACONDA,10/23/2021 12:10,1.109178092,0.150359891,26.06627703,31/42
GILLIBRAND,10/23/2021 12:10,0.188039889,0.61246094,34.16109038,31/46
COVENTRY,10/23/2021 12:10,1.040692929,0,31.30041127,31/46
NAPOLEON,10/23/2021 12:10,0,0.427125355,31.61043869,31/45
VIDEO,10/23/2021 12:10,0,1.441646176,32.38134153,28/45
TAHQUITZ,10/23/2021 12:10,0.300197948,0.219347327,30.72001377,31/46
PHEASANT,10/23/2021 12:10,0,1.051567473,33.29871347,31/45
OAK GLEN,10/23/2021 12:10,0,0.412485854,29.91734669,27/41
GALENA,10/23/2021 12:10,0.653165935,0.81585422,36.55488738,31/46
ICEHOUSE,10/23/2021 12:10,0,0,30.64478697,31/46
CASTRO,10/23/2021 12:10,0,1.134002082,35.32504164,29/46
GINGER,10/23/2021 12:10,0.832645088,0,34.75708847,28/40
GUITAR,10/23/2021 12:10,0.118194362,1.267434073,30.99697085,31/46
CALSTATE,10/23/2021 12:10,0.387357604,0,29.62110177,31/46
DARTMOUTH,10/23/2021 12:10,0.655122371,1.994931379,26.05538748,31/45
FERRARA,10/23/2021 12:10,0,0,31.33311389,31/46
STAR ROCK,10/23/2021 12:10,0.128357133,0.84696813,32.39280008,31/44
MACIEL,10/23/2021 12:10,0,0.787862509,31.4969521,28/42
RANIER,10/23/2021 12:10,0.601519066,0.801688451,31.29561917,31/45
SADDLEBACK,10/23/2021 12:10,0.63834469,0.103085021,31.13864002,31/46
GLASSCOCK,10/23/2021 12:10,0.946671062,1.306835792,32.51265822,31/45
SWEETWATER,10/23/2021 12:10,0,0.517924662,27.17656857,31/46
LANGER,10/23/2021 12:10,0.466250564,0.192535044,35.81898806,31/45
LARCH,10/23/2021 12:10,0.173596169,1.037995266,37.47770736,31/46
RED BOX,10/23/2021 12:10,0.280272404,0.966086422,32.2946702,31/46
MORELLO,10/23/2021 12:10,0,0,30.78246261,31/45
CLARINET,10/23/2021 12:10,0,0,31.76524951,31/46
STAGHORN,10/23/2021 12:10,0.073271723,0,29.90266884,31/46
MODJESKA,10/23/2021 12:10,0.278983227,0.082041871,31.50953193,30/44
BUCKHORN,10/23/2021 12:10,0,0,27.03916389,31/46
CORSAIR,10/23/2021 12:20,0,0.801144169,36.59372738,30/42
BALCOM,10/23/2021 12:20,0.867164986,0,32.06663966,31/46
STEEL,10/23/2021 12:20,0,1.277980618,35.50641192,30/43
PYTHON,10/23/2021 12:20,0,1.382694274,29.06623782,31/46
SONOMA,10/23/2021 12:20,0,0.049414527,34.14074391,27/39
ESTABAN,10/23/2021 12:20,0.202092337,0.982632891,26.07126661,31/45
ARLENE,10/23/2021 12:20,0.119345858,0.246708629,28.03030522,31/46
SHOVEL,10/23/2021 12:20,0,0,28.36276666,25/40
DONLON,10/23/2021 12:20,0,0.192200084,29.55771364,31/46
AVANTI,10/23/2021 12:20,0.03884971,1.951388232,32.62140022,31/46
